Entity	Attribute	Required/Optional	DataType
Condition Inheritance	Condition	Required	Condition
Condition Inheritance	Gene	Optional	Gene 
Condition Inheritance	CanonicalAllele	Optional CanonicalAllele
Condition Inheritance	inheritanceMode	Required	HPO(+) Term	
Condition Prevalence	Condition	Required	Condition
Condition Prevalence	Gene	Optional Gene
Condition Prevalence	CanonicalAllele	Optional	CanonicalAllele
Condition Prevalence	Population	Required	Population
Condition Prevalence	lowerBound	Required	float
Condition Prevalence	upperBound	Required	float
Condition Penetrance	Condition	Required	Condition
Condition Penetrance	Gene	Optional	Gene
Condition Penetrance	CanonicalAllele	Optional	CanonicalAllele
Condition Penetrance	penetrance	Required	ControlledTerm (Complete,Incomplete,Age-Dependent)
Mechanism of Disease	Condition	Required	Condition
Mechanism of Disease	Gene	Required	Gene
Mechanism of Disease	mechanism	Required	ControlledTerm (LOF,missense)
Mechanism of Disease	mechanismImportance	Required	ControlledTerm(Unique,Primary,Common?,Observed,NonCausal)
Benign Missense Variation Rate	Gene	Required	Gene
Benign Missense Variation Rate	rate	Required	ControlledTerm(low, high)
Benign Missense Variation Rate	Condition	Optional?	Condition
In Silico Prediction	Allele	Required	TranscriptContextualAllele
In Silico Prediction	predictionType	Required	ControlledTerm(function, splicing)
In Silico Prediction	prediction	Required	??
Region Annotation	sequence	Required	Sequence
Region Annotation	start	Required	int
Region Annotation	stop	Required	int
Region Annotation	repeat	Optional	boolean
Region Annotation	functionalDomain	Optional	boolean
Region Annotation	mutationalHotspot	Optional	boolean
Functional Data	Gene	Optional	Gene
Functional Data	Transcript	Optional	Transcript
Functional Data	Allele	Optional	 Canonical Allele
Functional Data	Condition	Optional	Condition
Functional Data	functionalDataType	Required	ControlledTerm()
Functional Data	functionalDataResult	Required	Free
Population Allele Frequency 	allele	Required	CanonicalAllele
Population Allele Frequency	population	Required	Population
Population Allele Frequency	allelefrequency	Required	float
Population Allele Frequency	alleleCount	Optional	int
Population Allele Frequency	totalCount	Optional	int
Population Allele Frequency	homozygoteCount	Optional	int
Individual	ID	Required	ID
Individual	caseFor	0..N	Condition
Individual	controlFor	0.N	Condition
Individual	healthyControl	Optional	boolean
Individual	hasAllele	0..N	CanonicalAllele
Individual	doesNotHaveAllele	0..N	CanonicalAllele
Individual	hasFamilyHistory	0..N	Condition
Individual	hasNoFamilyHistory	0..N	Condition
Individual	familialAllele	0..N	Familal Allele
Individual	phase	0..N	phasedAllele
Familial Allele	Allele	Required	CanonicalAllele
Familial Allele	parent	Required	ControlledTerm(confirmed paternal, unconfirmed paternal, confirmed maternal, unconfirmed maternal)"
Familial Allele	tested	Required	boolean
Familial Allele	count	Optional	int(0,1,2)
Phased Alleles	alleles	2	CanonicalAllele
Phased Alleles	phase	Required	ControlledTerm(cis,trans)
Cohort Allele Frequency	cohort	Required	Cohort
Cohort Allele Frequency	allele	Required	CanonicalAllele
Cohort Allele Frequency	allelefrequency	Required	float
Cohort Allele Frequency	alleleCount	Optional	int
Cohort Allele Frequency	totalCount	Optional	int
Cohort Allele Frequency	homozygoteCount	Optional	int
Cohort	ID	Required	ID
Cohort	ascertainment	Required	Text
Case Control	Condition	Required	Condition
Case Control	caseCohort	Required	Cohort
Case Control	controlCohort	Optional	Cohort
Segregation	Condition	Required	Condition
Segregation	Allele	Required	CanonicalAllele
Segregation	fullSegregationData	Optional	FullSegregationData
Segregation	informativeSegregations	Optional	int
Segregation	confirmingSegregations	Optional	int
FullSegregationData	hasIndividual	2..N	SegregationFamilyMember
Segregation Family Member	individual_id	Required	int
Segregation Family Member	paternal_id	Required	int
Segregation Family Member	maternal_id	Required	int
Segregation Family Member	sex	Required	ControlledTerm(M,F)
Segregation Family Member	hasCondition	Optional	boolean
Segregation Family Member	alleleCount
Other genes are associated with condition
