ACMG Code	ACMG Statement	Evidence Type	ET attributes	Questions/Notes
PVS1	null variant (nonsense, frameshift, canonical ±1 or 2 splice sites, initiation codon, single or multiexon deletion) in a gene where LOF is a known mechanism of disease	MechanismOfDisease	Gene,mechanism,Condition,mechanismImportance	
		MolecularEffect	Allele	What is the relationship to molecular effect in the allele model?
PS1	Same amino acid change as a previously established pathogenic variant regardless of nucleotide change	MolecularEffect	Allele	Do we want a single MolecularEffect to cover all of the cases, e.g. LOF vs missense etc.
		PathogenicityInterpretation	Allele,Condition,Pathogenicity	Is this entity just an interpretation, or is it evidence saying that there is an interpretation?
PS2	De novo (both maternity and paternity confirmed) in a patient with the disease and no family history	FamilyHistory	hasFamilyHistory,hasNoFamilyHistory,individual Required	
		DeNovoAllele	allele,maternityConfirmed,individual,paternityConfirmed	?fold denovoallele into individualalleles?
PS3	Well-established in vitro or in vivo functional studies supportive of a damaging effect on the gene or gene product	FunctionalData	functionalDataResult,functionalDataType,Allele,Gene,Transcript,Condition	Do we need more detailed modeling (No)
PS4	The prevalence of the variant in affected individuals is significantly increased compared with the prevalence in controls	ConditionPrevalence	lowerBound,upperBound,CanonicalAllele,Gene,Condition,Population	
		ConditionPenetrance	CanonicalAllele,Gene,penetrance,Condition	
		CaseControl	caseCohort,controlCohort,Condition	
PM1	Located in a mutational hot spot and/or critical and well-established functional domain (e.g., active site of an enzyme) without benign variation	RegionAnnotation	repeat,sequence,stop,start,mutationalHotspot,functionalDomain	Do we need to allow for noncontiguous regions?  Difference between hotspot and functional region?
		PathogenicityInterpretation	Allele,Condition,Pathogenicity	This is the benign allele interpretation
PM2	Absent from controls (or at extremely low frequency if recessive) (Table 6) in Exome Sequencing Project, 1000 Genomes Project, or Exome Aggregation Consortium	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		ConditionPrevalence	lowerBound,upperBound,CanonicalAllele,Gene,Condition,Population	
		ConditionPenetrance	CanonicalAllele,Gene,penetrance,Condition	
		PopulationAlleleFrequency	homozygoteCount,allelefrequency,alleleCount,totalCount,allele,population	
PM3	For recessive disorders, detected in trans with a pathogenic variant	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		IndividualAlleles	phase,allele,individual	One of the alleles is the one being interpreted and the other is the one in the pathogenicinterpretation element.
		PathogenicityInterpretation	Allele,Condition,Pathogenicity	
PM4	Protein length changes as a result of in-frame deletions/insertions in a nonrepeat region or stop-loss variants	MolecularEffect	Allele	
		RegionAnnotation	repeat,sequence,stop,start,mutationalHotspot,functionalDomain	If the change is in a repeat region it is less interesting.
PM5	Novel missense change at an amino acid residue where a different missense change determined to be pathogenic has been seen before	MolecularEffect	Allele	
		PathogenicityInterpretation	Allele,Condition,Pathogenicity	A pathogenic interpretation of a different aminoacid change at the same location.
PM6	Assumed de novo, but without confirmation of paternity and maternity	FamilyHistory	hasFamilyHistory,hasNoFamilyHistory,individual Required	
		DeNovoAllele	allele,maternityConfirmed,individual,paternityConfirmed	?fold denovoallele into individualalleles?
PP1	Cosegregation with disease in multiple affected family members in a gene definitively known to cause the disease	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		ConditionPenetrance	CanonicalAllele,Gene,penetrance,Condition	
		Segregation	fullSegregationData,Allele,informativeSegregations,Condition,confirmingSegregations	
PP2	Missense variant in a gene that has a low rate of benign missense variation and in which missense variants are a common mechanism of disease	MechanismOfDisease	Gene,mechanism,Condition,mechanismImportance	
		MolecularEffect	Allele	
		BenignMissenseVariationRate	rate,Gene,Condition	Rate is probably a qualitative thing?
PP3	Multiple lines of computational evidence support a deleterious effect on the gene or gene product (conservation, evolutionary, splicing impact, etc.)	InSilicoPrediction	Allele,prediction,predictionType	
PP4	Patient’s phenotype or family history is highly specific for a disease with a single genetic etiology	FamilyHistory	hasFamilyHistory,hasNoFamilyHistory,individual Required	Individual w/ family history for a condition, then OtherGenes saying condition is gene speciric?
		OtherGenesAreAssociatedWithCondition	condition	Should this be condition or individual?
BA1	Allele frequency is >5% in Exome Sequencing Project, 1000 Genomes Project, or Exome Aggregation Consortium	PopulationAlleleFrequency	homozygoteCount,allelefrequency,alleleCount,totalCount,allele,population	
BS1	Allele frequency is greater than expected for disorder	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		ConditionPrevalence	lowerBound,upperBound,CanonicalAllele,Gene,Condition,Population	
		ConditionPenetrance	CanonicalAllele,Gene,penetrance,Condition	
		PopulationAlleleFrequency	homozygoteCount,allelefrequency,alleleCount,totalCount,allele,population	
BS2	Observed in a healthy adult individual for a recessive (homozygous), dominant (heterozygous), or X-linked (hemizygous) disorder, with full penetrance expected at an early age	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		ConditionPenetrance	CanonicalAllele,Gene,penetrance,Condition	
		IndividualAlleles	phase,allele,individual	
		IndividualConditions	hasCondition,isHealthyControl,individual,doesNotHaveCondition	(Using isHealthyControl)
BS3	Well-established in vitro or in vivo functional studies show no damaging effect on protein function or splicing	FunctionalData	functionalDataResult,functionalDataType,Allele,Gene,Transcript,Condition	
BS4	Lack of segregation in affected members of a family	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		ConditionPenetrance	CanonicalAllele,Gene,penetrance,Condition	
		Segregation	fullSegregationData,Allele,informativeSegregations,Condition,confirmingSegregations	
BP1	Missense variant in a gene for which primarily truncating variants are known to cause disease	MechanismOfDisease	Gene,mechanism,Condition,mechanismImportance	
		MolecularEffect	Allele	
BP2	Observed in trans with a pathogenic variant for a fully penetrant dominant gene/disorder or observed in cis with a pathogenic variant in any inheritance pattern	ConditionInheritance	CanonicalAllele,Gene,inheritanceMode,Condition	
		IndividualAlleles	phase,allele,individual	
		PathogenicityInterpretation	Allele,Condition,Pathogenicity	
BP3	In-frame deletions/insertions in a repetitive region without a known function	MolecularEffect	Allele	
		RegionAnnotation	repeat,sequence,stop,start,mutationalHotspot,functionalDomain	
BP4	Multiple lines of computational evidence suggest no impact on gene or gene product (conservation, evolutionary, splicing impact, etc.)	InSilicoPrediction	Allele,prediction,predictionType	
BP5	Variant found in a case with an alternate molecular basis for disease	IndividualAlleles	phase,allele,individual	
		IndividualConditions	hasCondition,isHealthyControl,individual,doesNotHaveCondition	
		PathogenicityInterpretation	Allele,Condition,Pathogenicity	
BP6	Reputable source recently reports variant as benign, but the evidence is not available to the laboratory to perform an independent evaluation	PathogenicityInterpretation	Allele,Condition,Pathogenicity	
BP7	A synonymous (silent) variant for which splicing prediction algorithms predict no impact to the splice consensus sequence nor the creation of a new splice site AND the nucleotide is not highly conserved	MolecularEffect	Allele	
		InSilicoPrediction	Allele,prediction,predictionType	Prediction must be splicing prediction
		Conservation	Allele,conservation	
